Category,Style,Palette,Type,Icons,Layout,Charts,Background,Avoid,Pasteable prompt
Doctorate,DBA Executive Problem Statement,#880E4F #FFFFFF #1A237E #004D40 #212121,"Libre Baskerville serif, open academic style, accessible readability","graduation cap, open book, quill pen","title page, abstract block, structured chapters, references footer","conceptual framework diagram, literature gap matrix","light gray academic, understated professionalism","unlabeled figures, missing legends, unclear axes","""DBA Executive Problem Statement, Libre Baskerville serif, open academic style, accessible readability, academic palette (#880E4F #FFFFFF #1A237E #004D40 #212121), title page, abstract block, structured chapters, references footer, conceptual framework diagram, literature gap matrix, light gray academic, understated professionalism, scholarly and publication-ready."""
Doctorate,Progress Report Template,#004D40 #FFFFFF #1A237E #5D4037 #263238,"EB Garamond, classical dissertation style, print-ready","microscope, atom, research flask","prospectus format: problem, purpose, questions, significance, limitations","thematic analysis map, code frequency chart, quote exemplars","cream paper texture, elegant thin dividers","sensationalist claims, overgeneralization, causal language without evidence","""Progress Report Template, EB Garamond, classical dissertation style, print-ready, academic palette (#004D40 #FFFFFF #1A237E #5D4037 #263238), prospectus format: problem, purpose, questions, significance, limitations, thematic analysis map, code frequency chart, quote exemplars, cream paper texture, elegant thin dividers, scholarly and publication-ready."""
Doctorate,Symposium Panel Slides,#263238 #FFFFFF #0D47A1 #C62828 #37474F,"Sabon-style serif, traditional academic formatting, crisp hierarchy","defense podium, committee table, approval stamp","title page, abstract block, structured chapters, references footer","theoretical model diagram, construct relationship arrows","warm white, classical book-page aesthetic","excessive bullet points, fragmented prose, incomplete arguments","""Symposium Panel Slides, Sabon-style serif, traditional academic formatting, crisp hierarchy, academic palette (#263238 #FFFFFF #0D47A1 #C62828 #37474F), title page, abstract block, structured chapters, references footer, theoretical model diagram, construct relationship arrows, warm white, classical book-page aesthetic, scholarly and publication-ready."""
Doctorate,Research Design Blueprint,#1A237E #FFFFFF #263238 #C62828 #37474F,"Libre Baskerville serif, open academic style, accessible readability","methodology flowchart, hypothesis icon, conclusion badge","executive summary band, methodology column, findings grid","research design flowchart, sampling diagram, validity table","ivory parchment texture, subtle academic watermark","informal language, clip art, decorative fonts, unsourced claims","""Research Design Blueprint, Libre Baskerville serif, open academic style, accessible readability, academic palette (#1A237E #FFFFFF #263238 #C62828 #37474F), executive summary band, methodology column, findings grid, research design flowchart, sampling diagram, validity table, ivory parchment texture, subtle academic watermark, scholarly and publication-ready."""
Earth,Humanitarian Relief Mapboard (Crisis Response),#FFFFFF #111827 #CBD5E1 #2563EB #F59E0B #DC2626,Clear sans; big status labels; mono case IDs,"Aid box, clinic, water, shelter, truck, map pins",Situation map center; needs list; resource assignment cards,Response timeline; utilization bars; priority matrix,Light grid + faint map lines,Photoreal disaster imagery; dense paragraphs,"Humanitarian relief infographic, crisis response mapboard layout, situation map with needs list and resource cards, response timelines and utilization charts, subtle map-line background, crisp vector, minimal text."
Earth,Orbital Earth View (Satellite Telemetry),#030712 #1F2937 #38BDF8 #8B5CF6 #F8FAFC #F59E0B,Sleek condensed sans; mono telemetry,"Orbit arcs, ground station, sensor cones, track dots",Earth disk panel + telemetry cards + event timeline strip,Coverage wedges; anomaly timeline; sparklines,Starfield + faint grid; subtle scanlines,Official mission logos; photoreal Earth behind text,"Orbital Earth telemetry infographic, Earth disk panel with telemetry cards, orbit arcs and sensors, condensed labels, coverage wedges and anomaly timelines, subtle starfield grid, crisp vector, minimal text."
Earth,Blue Marble Atlas (Global Map First),#030712 #075985 #0EA5E9 #16A34A #E0F2FE #F8FAFC,Map-label sans; small caps regions,"Globe, lat-long grid, route arcs, network nodes",Central world map; legend column; regional insets,Choropleths; flow arcs; regional sparklines,Star speckle + faint lat-long grid (3%),Photoreal Earth behind text; neon overload,"Earth atlas infographic, central world map with insets and legend, blue/green palette, flow arcs and choropleths, map-label typography, subtle lat-long grid, crisp vector, minimal text."
Earth,Climate Action Report (Clean NGO Modern),#FFFFFF #E9ECEF #14532D #22C55E #0EA5E9 #111827,Friendly modern sans; bold numeric callouts,"Leaf, thermometer, droplet, wind, solar panel (line)",Impact KPI strip; initiative cards; roadmap timeline,CO2 trend lines; mix donuts; scenario bands,Light sky gradient (2%) + subtle dot texture,Alarmist clutter; too many colors,"Earth climate action infographic, clean NGO report style, impact KPIs and initiative cards, green/ocean accents, clear CO2 and scenario charts, light airy background, crisp vector, minimal text."
Earth,Earth Global Atlas (Blue Marble Data),#030712 #075985 #0EA5E9 #16A34A #E0F2FE #F8FAFC,Map-label sans; small caps regions,"Globe, lat-long grid, route arcs, network nodes, weather/leaf icons",Central world map; legend column; regional inset cards; bottom timeline strip,Choropleths; flow arcs; heat bands; regional sparklines,Subtle star speckle + faint lat-long grid (3%),Photoreal Earth texture behind text; neon overload,"Earth global atlas infographic, central world map with regional insets and legend, flow arcs and choropleths, map-label typography, subtle lat-long grid background, crisp vector, minimal text."
Earth,Earth Systems Science (Geology + Oceans),#111827 #FFF7ED #0EA5E9 #16A34A #C2410C #E7D3B0,Scientific sans; mono variables; captioned figures,"Contours, waves, fault lines, volcano, current arrows",Figure panels with captions; layered sections by system,Layered areas; cycle diagrams; annotated lines,Warm paper grain + faint contour watermark,Neon sci-fi glow; decorative motifs,"Earth systems science infographic, captioned figure panels, geology/ocean motifs, warm paper grain with faint contours, annotated charts and cycle diagrams, crisp vector, minimal text."
Editorial & Lifestyle,Food Menu Infographic (Culinary Editorial),#FFF7ED #3F2A1D #16A34A #EF4444 #F59E0B #111827,Elegant serif headings; clean sans labels,Minimal food line icons; utensils/garnish marks,Menu sections; ingredient callouts; price badge placeholders,Nutrition bars; spice meter; prep time timeline,Light paper grain; subtle dividers,Neon cyber palettes; heavy industrial blocks,"Culinary menu infographic, cream paper grain, elegant headings, ingredient callouts, spice meter and prep timeline charts, clean minimal editorial style."
Editorial & Lifestyle,Sports Broadcast Overlay,#0B0F19 #F9FAFB #2563EB #DC2626 #FACC15 #374151,Bold condensed; large numerals,Whistle/ball/bracket/arrows/stat glyphs,Lower thirds; stat panels; matchup card; leaderboard column,Shot charts; momentum line; comparative bars,Dark gradients + subtle diagonal motion lines,Vintage textures; delicate fonts,"Sports broadcast overlay infographic, scoreboard typography, stat panels and leaderboards, momentum charts, high-energy readable layout."
Editorial & Lifestyle,Financial Newsroom (Market Report),#FFFFFF #0B1220 #CBD5E1 #16A34A #DC2626 #2563EB,Condensed sans headlines; tight numeric tables,Trend arrows; tickers; minimal indicators,Ticker band; side metrics column; dense but organized,Tight line charts; sparklines; comparative bars,Clean white with subtle rules,Playful doodles; heavy textures,"Financial newsroom infographic, data-dense but clean layout with ticker band and metric columns, condensed headlines, precise tables, sparklines and trend charts, professional market vibe."
Editorial & Lifestyle,Luxury Editorial (Magazine Spread),#0A0A0A #FFFBF2 #D6C7A1 #065F46,High-contrast serif headlines; minimalist sans labels,Ultra-minimal thin-line icons,Asymmetric editorial grid; large imagery windows placeholders,Minimalist thin charts; small legends,Clean ivory; subtle paper,Dense dashboards; loud stickers,"Luxury editorial infographic, magazine-spread layout with strong negative space, premium serif headlines, minimalist charts, ivory background, clean and elegant."
Editorial & Lifestyle,Eco Nonprofit (Natural Materials),#14532D #22C55E #7C4A2D #60A5FA #FAF7F0,Friendly sans with organic serif accents,"Woodcut-like icons: leaves, water drops",Modular blocks with subtle imperfect edges,Pattern fills (dots/lines); earthy tones,Recycled paper texture,Glossy luxury; neon cyber,"Eco nonprofit infographic, recycled paper texture, earthy palette, woodcut iconography, modular blocks, charts with pattern fills, warm and authentic."
Education,Special Education Visual Schedule (Low Stress),#FFFFFF #111827 #93C5FD #86EFAC #FDE047,"Simple sans, highly accessible","Simple pictograms, timer, calm icons","Visual schedule strip, task cards, reward lane","Simple progress bars, time blocks, calm KPI tiles",Very light tint with minimal pattern,"Overstimulation, dense text, bright neon","“Special education visual schedule slide, highly accessible simple layout with task cards and schedule strip, calm palette, clear pictogram icons, simple progress bars and time blocks, minimal background texture, high readability.”"
Education,Middle School Planner (Timetable and Tasks),#FFFFFF #111827 #3B82F6 #22C55E #F59E0B #E5E7EB,"Clean sans, schedule-first labels","Calendar, checklist, bell, backpack","Timetable grid, homework lane, goal cards","Completion bars, time-on-task lines, weekly heatmap",Light dot grid,"Cluttered decorations, illegible tiny schedules","“Student planner infographic slide, timetable grid with homework lane and goal cards, clean typography, calendar and checklist icons, completion bars and weekly heatmap, light dot-grid background, crisp readable.”"
Education,Art Class Sketchbook (Studio Critique),#FFFBF2 #1F2937 #93C5FD #FDA4AF #FCD34D,Serif accent headers + clean labels,"Pencil, brush, palette, frame","Sketchbook panels, critique notes margin, gallery cards","Portfolio progress bars, rubric table, timeline",Sketch paper texture with light pencil marks,"Photoreal artworks, signatures, heavy clutter","“Art class sketchbook infographic slide, sketch paper texture with subtle pencil marks, gallery card layout with critique margin notes, art icons, rubric table and progress bars with timeline, soft watercolor accents, crisp readable labels.”"
Education,Physical Education Playbook (Coaching Board),#0B1220 #F8FAFC #22C55E #FACC15 #EF4444,"Bold condensed headers, big numerals","Whistle, cone, ball, arrows, court lines","Coaching board zones, drill cards, schedule strip","Performance trend, drill completion bars, heatmap",Subtle court-field line pattern,"Team logos, real athlete faces, overly busy arrows","“PE coaching playbook infographic slide, coaching board layout with drill cards and schedule strip, bold condensed typography, whistle and cone icons, performance trend and drill completion bars, subtle court-line background, crisp and readable, no team logos.”"
Education,STEM Lab Notebook (Graph Paper),#FAFAF9 #111827 #2563EB #0F766E #F59E0B #6B7280,"Scientific sans, mono for variables","Microscope, beaker, atom, circuit, math symbols","Two-column figure layout, captions, callouts","Precise axes, scatter plots, small tables",Light graph paper grid,"Fake precise data claims, messy doodles, dense microtext","“STEM lab notebook infographic slide, graph paper background, scientific typography with mono variables, lab icons, two-column figure layout with captions, precise charts and small tables, crisp vector, minimal text.”"
Education,Music Theory Staff Paper (Conservatory),#FFFBF2 #111827 #6B7280 #1D4ED8 #D4AF37,Elegant serif headers + clean sans labels,"Notes, clef, metronome, waveform","Staff-line sections, lesson blocks, practice plan","Tempo trend, practice time bars, interval ladder",Faint staff lines and paper grain,"Real copyrighted sheet music passages, tiny notes","“Music theory infographic slide, faint staff-line background with paper grain, elegant headings and clear labels, note and metronome icons, practice plan blocks, tempo trend and practice time bars, crisp readable, no copyrighted score excerpts.”"
Education,EdTech Gamified Learning (Badges and Levels),#0B1220 #F8FAFC #A855F7 #22D3EE #22C55E #F59E0B,"Bold UI sans, level labels","Badges, stars, trophy, progress bar","Level map, quest cards, rewards sidebar","XP progress meter, streak tiles, leaderboard bars",Subtle glow grid,"Casino-like neon, tiny UI text, brand logos","“Gamified learning infographic slide, level map with quest cards and rewards sidebar, bold UI typography, badge and trophy icons, XP progress meter and leaderboard bars, cyan and violet accents with green progress, subtle glow grid, crisp readable, no logos.”"
Education,Kindergarten Storytime Crayon (Playful Learning),#60A5FA #FBBF24 #A78BFA #34D399 #FFF7ED,"Rounded bubbly sans, oversized titles","Book, teddy bear, ABC blocks, crayons","Big blocks, sticker callouts, simple flow","Chunky bars, pictogram charts, badge KPIs",Construction paper texture,"Dense data, tiny labels, overly dark colors","“Kindergarten storytime infographic slide, crayon and construction-paper texture, rounded bubbly typography, book and ABC icons, big simple layout with sticker callouts, chunky pictogram charts, clean and readable.”"
Education,Math Classroom Proof Sheet (Structured Logic),#FFFFFF #111827 #6B7280 #2563EB #F97316,"Academic sans, mono for variables","Sigma, graph axes, ruler, theorem tag","Two-column proof blocks, definition boxes, examples lane","Function plots, step bars, small tables",Light micro-grid,"Overly decorative fonts, crowded equations","“Math proof-sheet infographic slide, structured two-column layout with definition boxes and examples lane, clean academic typography with mono variables, graph and theorem icons, function plots and step bars, subtle micro-grid background, crisp and readable.”"
Education,High School AP Exam Prep (Test Booklet),#FAFAF9 #111827 #334155 #1D4ED8 #DC2626,"Formal sans, test-prep hierarchy","Stopwatch, bubble sheet, target, checklist","Section drills, tips sidebar, formula box","Score trend, topic mastery bars, time-per-question line",Light paper with thin rules,"Stressy alarm design, tiny text, real test content","“Exam prep infographic slide, test booklet layout with drills and tips sidebar, formal typography, stopwatch and checklist icons, topic mastery bars and score trend, light ruled paper background, crisp and readable, no real test questions.”"
Education,Online Course LMS UI (E-learning Modern),#0B1220 #F8FAFC #3B82F6 #22D3EE #22C55E,"Modern UI sans, card-based","Play button, module blocks, quiz, certificate","Module cards, progress rail, lesson tiles","Progress meters, completion trend, quiz score bars",Subtle gradient mesh,"Real platform logos, screenshot mimicry, tiny UI text","“Online course LMS-style infographic slide, clean card-based modules with progress rail, modern UI typography, lesson and quiz icons, progress meters and quiz score bars, subtle gradient mesh background, crisp vector, no platform logos.”"
Education,Chalkboard Lesson Plan (Classic Classroom),#0F3D2E #F8FAFC #FDE047 #60A5FA #FB7185,Chalk handwritten headers + clean labels,"Chalk doodles, underlines, circled numbers","Clustered note zones, boxed formulas, arrow callouts","Chalk graphs, simple bars, timeline scribbles",Chalkboard smears and eraser streaks,"Glossy UI, perfect vector sharpness","“Chalkboard lesson plan infographic slide, chalk handwritten headings, boxed notes and formulas, chalk doodle icons, chalk charts with dusty edges, chalkboard smear background, high contrast and readable labels.”"
Education,Library Study Guide (Quiet Minimal),#FAFAF9 #111827 #64748B #1D4ED8 #D6C7A1,"Calm sans, generous spacing","Book spine, bookmark, magnifier, note card","Chapter tabs, summary cards, key takeaways column","Reading progress bars, concept map, checklist",Subtle paper grain,"Bright playful clutter, heavy textures, tiny text","“Library study guide infographic slide, quiet minimal layout with chapter tabs and summary cards, calm typography, book and bookmark icons, reading progress bars and concept map with checklist, subtle paper grain backgroun"
Education,University Lecture Minimal (Academic Clean),#FFFFFF #111827 #CBD5E1 #1D4ED8 #0F766E,"Modern sans, strong hierarchy, lecture-friendly","Lecture podium, notebook, citation marks, simple arrows","Title bar, agenda rail, 3-section content blocks","Conservative bars/lines, timelines, small matrices",Clean white with thin rules,"Over-decoration, playful doodles, logos","“University lecture slide theme, minimal academic layout with agenda rail and clean sections, modern sans typography, simple academic icons, conservative readable charts, thin ruled background, no logos.”"
Education,Research Conference Poster (Poster Grid),#FAFAF9 #111827 #6B7280 #2563EB #B91C1C,"Figure-caption style, readable from distance","Figure markers, chart glyphs, section labels","Poster-style multi-panel grid, big headers, clear legends","Scientific plots, error bars, tables, callouts",White with faint micro-grid,"Tiny text, crowded panels, heavy textures","“Research poster style infographic slide, multi-panel grid with large section headers, figure captions, clean legends, scientific charts and tables, subtle micro-grid background, high readability, no logos.”"
Education,K-12 Classroom Bulletin Board (Bright and Modular),#60A5FA #FBBF24 #34D399 #FB7185 #FFF7ED #111827,"Rounded sans, big headers, kid-friendly labels","Pushpins, paper clips, rulers, stars, pencils","Bulletin-board blocks, “pinned” cards, big section headers","Chunky bars, sticker KPI badges, simple timelines",Corkboard texture at low opacity,"Real school logos, clutter, tiny text","“Education infographic slide, K-12 bulletin board style with pinned cards and corkboard texture, bright friendly palette, rounded typography, pencil and ruler icons, chunky readable charts and sticker KPI badges, clean hierarchy, no school logos.”"
Education,Language Learning Flashcards (Card Deck),#FFFBF2 #111827 #2563EB #22C55E #FB7185,"Friendly sans, short labels","Speech bubble, flag-neutral globe, book, audio","Flashcard grid, pronunciation strip, spaced-rep timeline","Mastery bars, recall rate line, lesson streak tiles",Soft paper texture,"National flags as branding, dense text blocks","“Language learning flashcard infographic slide, flashcard grid with pronunciation strip and spaced repetition timeline, friendly typography, speech and audio icons, mastery bars and recall trend, soft paper background, clean readable, no logos.”"
Education,Coding Bootcamp Terminal (Developer Learning),#05070A #111827 #22C55E #60A5FA #F59E0B,"Mono-heavy, compact headings","Brackets, cursor, commit, bug, lightbulb","Terminal window cards, roadmap lane, exercise panels","Sprint burndown, skill ladder bars, error trend",Subtle scanlines,"Long illegible code, tool logos, exploit content","“Coding bootcamp infographic slide, terminal window card layout with mono typography, roadmap lane and exercise panels, green and blue accents on dark, sprint burndown and skill ladder charts, subtle scanlines, crisp readable, no logos.”"
Education,Montessori Natural Materials (Calm and Tactile),#FAF7F0 #14532D #7C4A2D #86A789 #D6C7A1 #111827,"Clean sans with soft spacing, calm headings","Wooden blocks, leaf, bead chain, simple shapes","Spacious cards, natural alignment, minimal dividers","Soft bars, simple progress rings, minimal grids",Recycled paper fiber texture,"Neon colors, busy patterns, childish clutter","“Montessori-inspired education slide, natural materials palette, recycled paper fiber texture, spacious card layout with calm typography, wooden block and leaf icons, gentle charts with minimal grids, high readability, no logos.”"
Education & Learning,Academic Library Quiet Minimal,#FFFBF2 #111827 #CBD5E1 #7C3AED #0F766E,Elegant serif headings + clean sans labels,"Bookmark, book stack, magnifier, citation mark, clock",Airy whitespace; left-aligned sections; quote callouts,Minimal lines/bars; emphasis on key numbers,Soft paper texture + thin rules,Loud colors; dense dashboards; heavy shadows,"Academic library minimal infographic slide, calm whitespace, serif headings with clean sans labels, subtle paper texture, minimal icons, restrained charts, focus on key numbers."
Education & Learning,K12 Bright Classroom,#FFFFFF #F8FAFC #60A5FA #22C55E #FBBF24 #FB7185,Rounded sans headings; bold short labels,"Book, pencil, ruler, lightbulb, graduation cap (filled)",Big section cards; sticker callouts; step-by-step panels,Chunky bars; simple donuts; big number badges,Subtle notebook dot-grid (3%),Dense text; tiny labels; dark moody palettes,"Kâ€“12 classroom infographic slide, bright friendly palette, rounded typography, sticker callouts, big readable charts with chunky bars, simple school icons, subtle dot-grid background, minimal text, crisp vector."
Education & Learning,STEM Lab Notebook (Annotated),#FAFAF9 #111827 #2563EB #16A34A #F97316,Sans labels + mono for formulas/variables,"Microscope, beaker, atom, graph, circuit (thin-line)",Figure + caption blocks; numbered callouts; margin notes,Scatter plots; line charts with markers; legend chips,Warm notebook paper grain + faint ruled lines,Decorative clutter behind charts; illegible micro text,"STEM lab notebook infographic, annotated figures with captions, mono formula callouts, thin-line lab icons, notebook paper texture with faint ruled lines, precise charts, clean hierarchy, minimal text."
Education & Learning,Higher Ed Campus Modern,#FFFFFF #E5E7EB #111827 #1D4ED8 #0F766E,Modern sans; small caps section headers; strong hierarchy,"Campus building, library, calendar, certificate, map pin (thin-line 2px)",12-column grid; title band; side rail for Key Outcomes,Precise axes; light gridlines; clean tables for stats,Light paper + faint geometric pattern (2%),Playful doodles; heavy textures; neon glow,"University campus modern infographic slide, institutional clean grid, thin-line icons, crisp tables and charts, restrained palette, strong hierarchy, subtle geometric background."
Education & Learning,Online Course UI (LMS Dashboard),#0B1220 #111827 #243244 #3B82F6 #22C55E #F8FAFC,UI sans; mono for course codes/timestamps,"Play, checklist, progress ring, chat, trophy",Card dashboard; progress column; lesson timeline strip,Progress donuts; completion bars; weekly streak sparklines,Dark subtle gradient + soft noise,Paper textures; retro print effects,"Online learning dashboard infographic, dark-mode card UI, progress rings and completion bars, clean UI typography, simple LMS icons, subtle gradient background, crisp readable labels, minimal text."
Energy & Utilities,Water Utility Civic (Infrastructure + Trust),#FFFFFF #E0F2FE #0EA5E9 #0F766E #111827,Friendly modern sans,"Droplet, pipe, reservoir, meter, wrench",Service map inset; quality metrics column; project timeline,Quality trend lines; usage bars; outage timeline,Subtle wave pattern (2%),Overly alarm-heavy look; dark moody UI,"Water utility civic infographic, clean white with subtle wave pattern, service map inset, quality and usage charts, modern readable typography, infrastructure icons."
Energy & Utilities,Grid Operations SCADA (Control Room UI),#05070A #111827 #22C55E #F59E0B #EF4444 #94A3B8,Condensed + mono telemetry,"Substation, bolt, transformer, gauge, alert",Central grid schematic; alarm list; KPI strip,Load curves; outage timeline; heatmap,Dark grid + faint circuit lines,Soft pastels; paper textures,"Energy grid SCADA infographic, dark control-room UI, grid schematic center with alarm list, mono telemetry labels, load curves and outage charts, status accents, subtle circuit background."
Energy & Utilities,Renewables Clean (Wind + Solar),#FFFFFF #E0F2FE #38BDF8 #22C55E #FDE047 #111827,Clean sans; airy spacing,"Wind turbine, solar panel, sun, leaf, battery",Modular cards; impact KPIs; pipeline timeline,Capacity bars; CO2 reduction line; mix donut,Light sky gradient + subtle rays (2%),Heavy industrial grunge; dark moody visuals,"Renewables infographic, airy clean design with wind/solar icons, impact KPI cards, capacity and CO2 charts, light sky background, modern typography, high readability."
Energy & Utilities,Oil & Gas Industrial (Rugged Technical),#111827 #334155 #CBD5E1 #F97316 #FACC15,Bold condensed headers; technical labels,"Pipeline, valve, rig silhouette (generic), wrench, gauge",Schematic panels; safety callouts; asset overview tiles,Production bars; downtime Pareto; safety trend line,Subtle steel texture; thin hazard separators,Photoreal machinery behind text; excessive grime,"Oil & gas industrial infographic, rugged technical schematic panels, steel/slate palette with safety accents, production and downtime charts, subtle steel texture, clean readable layout."
Energy & Utilities,Hydrogen & Storage (Highâ€‘Tech Lab),#0B1220 #F8FAFC #22D3EE #3B82F6 #22C55E,Sleek sans; mono for specs,"H2 molecule, tank, gauge, flow arrows, lab flask",Process flow diagram; spec table; KPI tiles,Efficiency lines; cost curves; capacity bars,Subtle hex pattern (2%),Retro paper textures; steampunk styling,"Hydrogen energy infographic, high-tech lab aesthetic, H2 icons, process flow with spec tables, efficiency and cost charts, subtle hex background, crisp vector, minimal text."
Executive Leadership,Scenario Planning (What-If),#0B1220 #F8FAFC #60A5FA #F59E0B #EF4444,"Clean sans, scenario labels","Branching tree, sliders, warning, compass","Scenario cards row, sensitiv",,,,
Executive Leadership,M&A Executive Brief (Deal Thesis),#0B1220 #F8FAFC #94A3B8 #1D4ED8 #F59E0B,"Formal sans, cautious tone","Puzzle piece, handshake, shield, document","Deal thesis cards, synergy panel, risk and diligence lane","Synergy waterfall, integration timeline, risk heatmap",Light paper grain with thin rules,"Legal claims, confidential identifiers, logos","“M&A executive brief slide, deal thesis cards with synergy panel and diligence lane, formal typography, puzzle and document icons, synergy waterfall and integration timeline with risk heatmap, light ruled background, crisp and neutral, no logos or confidential identifiers.”"
Executive Leadership,Quarterly Business Review (QBR) Premium,#0A2540 #FFFFFF #CBD5E1 #38BDF8 #D4AF37,"Premium sans, strong headings, client-ready","Handshake, chart arrow, milestone flag","Section cards, highlights strip, customer outcomes lane","Waterfall, pipeline funnel, KPI tiles, timeline",Soft gradient wash with minimal texture,"Salesy gimmicks, dense tables, logos","“Executive QBR premium slide, section cards with highlights strip and outcomes lane, navy and white with sky-blue accents and restrained gold, clean KPI tiles and waterfall plus funnel and timeline, soft gradient background, crisp readable, no logos.”"
Executive Leadership,Board Pack Classic (Agenda Rail + Appendix),#111827 #F8FAFC #E5E7EB #1D4ED8 #F59E0B,"Formal sans, strict hierarchy, table-friendly","Checklist, binder tabs, section markers","Title bar + agenda rail, 3-panel content blocks, appendix footers","Conservative bars/lines, scorecard tables, milestones timeline",Clean white with thin rules,"Decorative textures, big illustrations, tiny text","“Board pack classic slide, structured agenda rail with three-panel blocks and appendix footer, formal typography, conservative charts and scorecard tables, blue accents with amber highlights, crisp and readable, no logos.”"
Executive Leadership,Talent Review (9-Box and Succession),#FFFFFF #111827 #2563EB #22C55E #F59E0B,"Clean sans, HR-friendly labels","People silhouettes, ladder, star, role badge","9-box grid, bench strength lane, action footer","9-box matrix, attrition trend, readiness bars",Clean white with thin rules,"Real employee data, names, sensitive info","“Executive talent review slide, 9-box grid with bench strength lane and action footer, clean typography, people and ladder icons, readiness bars and attrition trend, crisp readable, no real employee data.”"
Executive Leadership,Executive Leadership Strategic Brief (Boardroom Minimal),#0B1220 #FFFFFF #CBD5E1 #1E3A8A #D4AF37,"Modern executive sans, strong hierarchy, large numerals, all-caps section labels","Minimal glyph set: compass (strategy), target (OKRs), shield (risk), handshake (stakeholders), upward arrow (growth)","Title bar + agenda rail, “3 big bets” panels, KPI strip across top, decision box on right, action footer","KPI tiles, waterfall (financial impact), milestone timeline, risk matrix (simple), OKR scorecard table",Clean white with subtle diagonal watermark lines and soft shadow cards,"Logos, seals, flags, clutter, dense paragraphs, low-contrast text","“Executive leadership strategic brief slide, boardroom minimal aesthetic, white background with subtle diagonal watermark lines, deep navy and charcoal text with restrained gold accent, title bar and agenda rail, three big-bets panels with KPI strip and decision box, minimalist glyph icons (strategy compass, target, shield), clean charts (waterfall, milestone timeline, OKR scorecard, simple risk matrix), crisp vector, high readability, no logos or seals.”"
Executive Leadership,Investor Day Narrative (Public Market Style),#0A0A0A #FFFFFF #CBD5E1 #3B82F6 #22C55E,"Condensed sans, bold numerals","Chart arrow, spotlight, pillar icons","Big headline + proof points, metric strip, guidance box","CAGR bars, margin bridge, KPI tiles",Clean dark with subtle vignette,"Forward-looking guarantees, legal disclaimers missing, logos","“Investor day narrative slide, clean dark premium layout with big headline and proof points, bold numerals, CAGR bars and margin bridge with KPI tiles, blue/green accents, subtle vignette background, crisp readable, avoid guarantees and keep claims cautious, no logos.”"
Executive Leadership,Transformation Program War Room (Exec View),#111827 #F8FAFC #22C55E #F59E0B #EF4444,"Bold sans, status-forward","Checkpoint, alert triangle, owner badge, clock","Workstream tiles, blockers lane, decision log column","Milestone timeline, status matrix, burndown",Subtle hazard separators on clean white,"Panic tone, cluttered sticky notes","“Executive transformation war room slide, workstream tiles with blockers lane and decision log column, bold typography, checkpoint icons, milestone timeline and status matrix plus burndown, clean background with subtle separators, crisp readable.”"
Executive Leadership,OKR Operating Review (Targets and Outcomes),#0B1220 #F8FAFC #3B82F6 #22C55E #F59E0B,"Clean sans, numeric emphasis, compact labels","Target, checkmark, flag, progress bar","OKR grid, owners column, next actions strip","OKR scorecards, progress meters, trend lines",Subtle dot grid,"Vanity charts, vague labels, clutter","“Executive OKR operating review slide, OKR grid with owners column and next actions strip, target and check icons, blue accents with green progress and amber risks, scorecards and progress meters with trends, subtle dot-grid background, crisp readable.”"
Executive Leadership,Leadership Scorecard (Balanced Scorecard),#0B1220 #F8FAFC #3B82F6 #22C55E #F59E0B,"Clean sans, metric-first","Gauge, four-quadrant icons, arrows","4-quadrant scorecard grid, KPI strip, notes footer","KPI tiles, trend lines, quadrant bars",Subtle micro-grid,"Vanity metrics, too many KPIs","“Executive balanced scorecard slide, four-quadrant grid with KPI strip and notes footer, clean typography, blue base with green/amber signals, KPI tiles and trend lines, subtle micro-grid background, crisp readable.”"
Executive Leadership,Strategy on a Page (One-Slide Narrative),#111827 #F8FAFC #CBD5E1 #2563EB #22C55E,"Clear sans, narrative headers","Compass, pillars, roadmap arrows","5-block story (Context, Choice, Plan, Risks, Metrics)","Minimal: KPI tiles, simple timeline, risk matrix",Clean white with thin dividers,"Overcrowding, multiple competing charts","“Strategy-on-a-page slide, five-block narrative layout (context choice plan risks metrics), clean typography, compass and pillar icons, minimal KPI tiles and simple timeline, thin divider background, crisp readable.”"
Executive Leadership,Customer Outcomes Executive Brief (Value Realization),#0B1220 #F8FAFC #22D3EE #22C55E #F59E0B,"Modern sans, outcomes-first","Trophy, handshake, checkmark, journey map","Outcome pillars, journey lane, proof tiles","Before/after bars, adoption trend, NPS tiles",Subtle gradient wash,"Over-sales tone, dense text","“Customer outcomes executive brief slide, outcome pillars with journey lane and proof tiles, modern typography, trophy and check icons, before/after bars and adoption trend with NPS tiles, cyan accents with green progress and amber risks, subtle gradient background, crisp readable.”"
Executive Leadership,KPI Deep Dive (Metric Narrative),#111827 #F8FAFC #3B82F6 #22C55E #EF4444,"Condensed headers, data-heavy but clean","Magnifier, chart glyphs, alert tags","One KPI per slide, drivers on right, actions footer","Trend line, driver bars, decomposition waterfall",Clean white with thin rules,"Too many charts, tiny labels","“Executive KPI deep dive slide, one-metric narrative layout with trend line center, driver bars on right and action footer, condensed typography with clear labels, blue base with green/red deltas, thin-rule background, crisp readable, avoid tiny labels.”"
